year,event_name,event_type,estimated_revenue,attendees,location
2022,Raising Hope Gala,Gala,600000,275,Water's Edge - Centerport NY
2022,Raising Hope Golf Classic,Sports,NA,102,Nissequogue Golf Club - St. James NY
2022,Raising Hope Top Golf Outing,Sports,NA,175,TopGolf
2022,Hockey for Hope,Sports,NA,NA,Dix Hills Ice Rink
2022,5K Run the Vineyard,Community,NA,NA,Pindar Vineyard - Peconic NY
2022,Susan's Day,Community,NA,NA,Smithaven Mall - Lake Grove NY
2022,Fitness Events (Unique Fitness),Community,2500,NA,Various Long Island locations
2022,Patient Celebration Day,Community,NA,1500,Long Island Community Hospital Amphitheater - Farmingville NY
2022,Living with Metastatic Breast Cancer,Community,NA,NA,Port Jefferson Country Club
2023,Raising Hope Gala,Gala,1000000,450,Ziegfeld Ballroom - NYC
2023,Raising Hope Golf Classic,Sports,150000,100,Nissequogue Golf Club
2023,TopGolf Event,Sports,25000,NA,TopGolf
2023,Hockey for Hope,Sports,30000,300,NA
2023,5K Run the Vineyard,Community,5500,NA,Pindar Vineyard - Peconic NY
2023,Laughs for Hope Comedy Night,Community,NA,NA,Village Idiot Pub - Lake Grove NY
2023,Brooklyn Half Marathon (D. Scarda),Community,15000,NA,Brooklyn NY
2023,Living with Metastatic Breast Cancer,Community,NA,50,Danfords Hotel Marina & Spa
2023,Power Events by Schneps Media,Community,8500,NA,NA
2023,Patient Celebration Day,Community,NA,1500,Bald Hill Amphitheater
2024,Raising Hope Gala,Gala,1000000,NA,Ziegfeld Ballroom - NYC
2024,Great Gatsby Affair,Gala,100000,300,Oheka Castle - Huntington NY
2024,Andrea Bocelli Event,Concert,60200,NA,Greek Orthodox Church
2024,Raising Hope Golf Classic,Sports,NA,88,Sebonack Golf Club - Southampton NY
2024,Hockey for Hope,Sports,33000,NA,Clark Gillies Arena - Dix Hills NY
2024,5K Run the Vineyard,Community,5000,NA,Pindar Vineyard - Peconic NY
2024,Patient Celebration Day,Community,NA,1500,Bald Hill Amphitheater
2024,Living with Metastatic Breast Cancer,Community,NA,65,Villa Lombardi's
2024,Power Events by Schneps Media,Community,NA,NA,NA
